Block Type,96well,,,,
Chemistry,TAQMAN,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,,
Instrument Type,steponeplus,,,,
Passive Reference,ROX,,,,
,,,,,
Well,Cycle,BLUE,GREEN,YELLOW,RED
F8,17,28465,11893,20946,36304
F9,17,25241,10399,19608,33969
F10,17,20504,8026,12784,23659
F11,17,19175,7430,11974,22337
F12,17,18451,7134,11281,20790
G1,17,15987,6213,10346,19468
G2,17,18415,7419,11527,21452
G3,17,23254,9450,14167,25466
G4,17,24767,10197,19265,33051
G5,17,25117,10641,19488,33999
G6,17,21439,8693,13021,23474
G7,17,18275,7453,11539,21565
G8,17,24254,10074,18299,31958
G9,17,24070,9832,18479,32007
G10,17,16824,6532,10680,19844
G11,17,16272,6094,10353,19860
G12,17,18982,7304,11478,21213
H1,17,12515,4799,8527,16281
H2,17,17611,6988,11135,20952
H3,17,21140,8606,13270,24145
H4,17,22182,9173,17572,30364
H5,17,24915,10609,19436,34124
H6,17,20923,8502,12977,23663
H7,17,16986,6925,10912,20545
H8,17,22398,9308,17067,30050
H9,17,22375,9286,17660,30804
H10,17,17066,6692,10769,19959
H11,17,12238,4408,7936,15379
H12,17,16682,6294,10177,19076
A1,18,17385,6909,11085,20827
A2,18,35124,14325,20777,37221
A3,18,21450,9077,16095,28170
A4,18,23252,9835,17817,30997
A5,18,18525,7552,11772,21653
A6,18,20433,8431,12561,22615
A7,18,18914,7755,14780,26344
A8,18,23919,10048,18172,31558
A9,18,20606,8369,15649,27875
A10,18,17479,6849,11102,20537
A11,18,17344,6710,10396,19403
A12,18,16722,6495,10391,19190
B1,18,17553,6915,11176,20948
B2,18,20094,7891,12584,23526
B3,18,24218,10199,17968,31480
B4,18,23440,9842,17965,31305
B5,18,18757,7496,11576,21297
B6,18,22224,9099,13451,24152
B7,18,20519,8369,15792,28102
B8,18,22955,9457,17391,30659
B9,18,23062,9648,17087,30199
B10,18,19270,7491,12067,22430
B11,18,17279,6607,10712,19968
B12,18,20063,7834,12171,22098
C1,18,19724,7837,12129,22319
C2,18,19444,7690,12118,22527
C3,18,24807,10504,18518,32351
C4,18,26516,11017,20307,35088
C5,18,21333,8850,13273,24096
C6,18,27855,11602,16754,30012
C7,18,19762,7740,12478,23154
C8,18,25191,10602,19041,33256
C9,18,23781,9957,17469,30658
C10,18,19832,7878,12462,22746
C11,18,17934,6906,11196,20808
C12,18,21786,8752,13206,23794
D1,18,20077,7960,12295,22510
D2,18,19798,7810,12293,22725
D3,18,23324,9854,17520,30803
D4,18,23259,9411,17996,31400
D5,18,20648,8465,12763,23338
D6,18,19665,8029,12777,23402
D7,18,15708,5835,9805,18699
D8,18,25134,10604,18929,33125
D9,18,25106,10352,18697,32759
D10,18,19284,7505,12060,22246
D11,18,16877,6304,10539,19920
D12,18,22001,8656,13228,24039
E1,18,19339,7638,12023,22149
E2,18,18917,7633,11687,21746
E3,18,22568,9384,16902,29964
E4,18,29497,12190,22248,38237
E5,18,22795,9374,14299,26210
E6,18,20953,8555,12822,22938
E7,18,13627,5190,8873,16934
E8,18,26001,10984,19332,33428
E9,18,23386,9554,17559,30974
E10,18,18554,7227,11622,21537
E11,18,18245,6958,11306,21249
E12,18,21888,8649,13159,23880
F1,18,20390,8054,12491,22869
F2,18,18573,7545,11691,21735
F3,18,23176,9735,17305,30400
F4,18,19578,7985,15631,27113
F5,18,20270,8371,12960,23645
F6,18,22013,8992,13459,24206
F7,18,19124,7910,12167,22711
F8,18,28552,11929,20918,36314
F9,18,25169,10340,19465,33798
F10,18,20517,8067,12795,23699
F11,18,19254,7465,12020,22392
F12,18,18253,7030,11133,20558
G1,18,16013,6214,10375,19517
G2,18,18626,7519,11634,21687
G3,18,23259,9427,14146,25409
G4,18,24746,10204,19203,32954
G5,18,25104,10623,19389,33894
G6,18,21499,8734,13065,23563
G7,18,18256,7450,11481,21506
G8,18,24254,10096,18251,31886
G9,18,24141,9845,18448,32013
G10,18,16771,6499,10622,19766
G11,18,16223,6078,10325,19814
G12,18,18943,7291,11436,21141
H1,18,12484,4769,8500,16238
H2,18,17601,6978,11145,20931
H3,18,21161,8619,13264,24156
H4,18,22160,9177,17519,30283
H5,18,24921,10608,19374,34048
H6,18,20934,8506,12955,23629
H7,18,17001,6931,10926,20544
H8,18,22438,9314,17040,30004
H9,18,22324,9253,17580,30679
H10,18,17070,6705,10757,19932
H11,18,12229,4434,7917,15397
H12,18,16629,6291,10161,19030
A1,19,17396,6926,11062,20795
A2,19,35160,14338,20780,37207
A3,19,21532,9101,16091,28205
A4,19,23183,9810,17692,30824
A5,19,18494,7538,11749,21590
A6,19,20431,8430,12541,22588
A7,19,18933,7749,14741,26320
A8,19,23966,10075,18111,31525
A9,19,20653,8396,15639,27882
A10,19,17496,6877,11113,20558
A11,19,17311,6697,10371,19369
A12,19,16721,6504,10376,19174
B1,19,17581,6899,11172,20913
B2,19,20121,7882,12582,23502
B3,19,24241,10243,17955,31460
B4,19,23337,9776,17813,31062
B5,19,18649,7445,11468,21117
B6,19,22218,9082,13429,24093
B7,19,20595,8410,15792,28133
B8,19,22877,9448,17282,30510
B9,19,23103,9678,17060,30133
B10,19,19346,7497,12092,22466
B11,19,17427,6680,10772,20106
B12,19,19971,7803,12096,22004
C1,19,19647,7797,12070,22218
C2,19,19437,7688,12121,22514
C3,19,25062,10616,18619,32535
C4,19,26620,11082,20325,35170
C5,19,21369,8857,13261,24076
C6,19,27974,11649,16798,30100
C7,19,19831,7778,12515,23219
C8,19,25153,10569,18915,33086
C9,19,23843,10004,17432,30648
C10,19,19920,7914,12478,22799
C11,19,17848,6874,11151,20733
C12,19,21793,8741,13185,23764
D1,19,20038,7937,12246,22449
D2,19,19814,7838,12282,22723
D3,19,23213,9790,17368,30590
D4,19,23409,9476,18026,31491
D5,19,20632,8469,12742,23314
D6,19,19648,8028,12772,23424
D7,19,15717,5849,9814,18703
D8,19,25179,10602,18894,33065
D9,19,25155,10373,18676,32737
D10,19,19344,7544,12078,22274
D11,19,16792,6272,10487,19821
D12,19,21953,8645,13191,23971
E1,19,19290,7594,11945,22072
E2,19,19009,7694,11729,21817
E3,19,22532,9381,16820,29876
E4,19,29627,12241,22266,38284
E5,19,22794,9367,14269,26166
E6,19,20916,8531,12764,22845
E7,19,13593,5189,8858,16901
E8,19,25986,10977,19235,33294
E9,19,23425,9570,17545,30956
E10,19,18693,7278,11698,21627
E11,19,18235,6948,11272,21202
E12,19,21938,8691,13174,23948
F1,19,20403,8058,12481,22866
F2,19,18704,7594,11765,21845
F3,19,23208,9764,17283,30382
F4,19,19542,7959,15535,26965
F5,19,20255,8362,12906,23577
F6,19,22075,9020,13495,24249
F7,19,19086,7905,12133,22628
F8,19,28656,11975,20931,36353
F9,19,25145,10341,19398,33714
F10,19,20641,8095,12829,23740
F11,19,19228,7454,11971,22331
F12,19,18312,7060,11167,20617
G1,19,16053,6240,10383,19527
G2,19,18566,7509,11565,21600
G3,19,23224,9420,14113,25377
G4,19,24813,10219,19192,32970
G5,19,25181,10674,19403,33951
G6,19,21567,8774,13086,23572
G7,19,18315,7481,11491,21525
G8,19,24318,10131,18227,31916
G9,19,24150,9847,18406,31925
G10,19,16841,6527,10660,19826
G11,19,16213,6082,10298,19760
G12,19,18886,7260,11388,21084
H1,19,12489,4779,8500,16234
H2,19,17614,6987,11114,20892
H3,19,21209,8649,13273,24158
H4,19,22196,9181,17499,30263
H5,19,24997,10653,19340,34043
H6,19,20939,8516,12936,23612
H7,19,17037,6951,10901,20513
H8,19,22423,9321,16963,29949
H9,19,22258,9239,17475,30518
H10,19,17045,6681,10723,19862
H11,19,12183,4402,7885,15347
H12,19,16690,6314,10180,19052
A1,20,17458,6941,11083,20840
A2,20,35189,14352,20756,37192
A3,20,21437,9061,15988,28054
A4,20,23192,9802,17639,30772
A5,20,18519,7567,11749,21601
A6,20,20418,8432,12528,22550
A7,20,18900,7731,14650,26175
A8,20,23955,10079,18042,31436
A9,20,20661,8385,15569,27788
A10,20,17455,6868,11066,20491
A11,20,17308,6704,10341,19313
A12,20,16698,6493,10348,19152
B1,20,17493,6874,11117,20839
B2,20,20088,7876,12546,23436
B3,20,24256,10227,17875,31369
B4,20,23362,9809,17779,31045
B5,20,18800,7515,11552,21285
B6,20,22250,9098,13419,24098
B7,20,20490,8346,15664,27944
B8,20,22916,9444,17236,30458
B9,20,23134,9685,17011,30083
B10,20,19360,7515,12078,22496
B11,20,17211,6581,10642,19883
B12,20,19999,7797,12107,22023
C1,20,19850,7870,12155,22380
C2,20,19516,7713,12172,22578
C3,20,24852,10516,18404,32233
C4,20,26597,11061,20259,35059
C5,20,21370,8857,13244,24038
C6,20,27963,11650,16769,30057
C7,20,19784,7735,12440,23115
C8,20,25181,10582,18866,33058
C9,20,23882,10019,17407,30618
C10,20,19893,7924,12487,22789
C11,20,17805,6836,11053,20591
C12,20,21791,8747,13193,23740
D1,20,20127,7973,12269,22487
D2,20,20000,7910,12411,22906
D3,20,23278,9828,17371,30626
D4,20,23369,9469,17948,31391
D5,20,20748,8513,12766,23370
D6,20,19557,7999,12747,23391
D7,20,15708,5825,9772,18656
D8,20,25148,10613,18820,33008
D9,20,25149,10365,18603,32646
D10,20,19400,7570,12102,22314
D11,20,16803,6297,10462,19788
D12,20,21960,8629,13186,23944
E1,20,19342,7618,11971,22093
E2,20,19184,7775,11803,21943
E3,20,22498,9341,16746,29748
E4,20,29587,12217,22136,38144
E5,20,22926,9412,14306,26220
E6,20,21009,8565,12805,22926
E7,20,13645,5214,8894,16931
E8,20,26023,10990,19178,33237
E9,20,23406,9554,17460,30871
E10,20,18667,7273,11655,21583
E11,20,18190,6921,11243,21120
E12,20,21854,8634,13128,23838
F1,20,20393,8071,12470,22861
F2,20,18772,7633,11755,21825
F3,20,23233,9797,17241,30360
F4,20,19566,7981,15516,26969
F5,20,20357,8426,12975,23660
F6,20,22181,9055,13506,24309
F7,20,19100,7914,12145,22624
F8,20,28639,11967,20832,36216
F9,20,25188,10378,19356,33659
F10,20,20617,8095,12812,23688
F11,20,19215,7459,11963,22318
F12,20,18316,7066,11139,20597
G1,20,16063,6250,10352,19470
G2,20,18618,7528,11600,21592
G3,20,23233,9455,14104,25356
G4,20,24766,10220,19136,32912
G5,20,25138,10641,19258,33760
G6,20,21550,8770,13062,23538
G7,20,18317,7467,11483,21511
G8,20,24304,10125,18157,31802
G9,20,24214,9877,18402,31947
G10,20,16818,6513,10611,19783
G11,20,16230,6075,10302,19764
G12,20,18835,7242,11356,20990
H1,20,12512,4804,8497,16250
H2,20,17594,6966,11093,20851
H3,20,21226,8646,13268,24151
H4,20,22170,9172,17420,30173
H5,20,24960,10647,19261,33915
H6,20,20964,8532,12930,23613
H7,20,17011,6955,10889,20512
H8,20,22449,9315,16914,29876
H9,20,22319,9247,17450,30519
H10,20,17054,6674,10725,19845
H11,20,12203,4407,7886,15327
H12,20,16655,6312,10143,19025
A1,21,17411,6941,11053,20787
A2,21,35182,14352,20773,37191
A3,21,21407,9059,15919,27929
A4,21,23202,9820,17577,30731
A5,21,18559,7555,11763,21607
A6,21,20418,8433,12510,22557
A7,21,18895,7728,14605,26089
A8,21,23967,10077,17995,31363
A9,21,20614,8376,15515,27691
A10,21,17511,6894,11089,20523
A11,21,17323,6710,10336,19326
A12,21,16679,6480,10328,19092
B1,21,17453,6866,11068,20740
B2,21,20065,7859,12510,23395
B3,21,24263,10204,17804,31297
B4,21,23363,9817,17709,30968
B5,21,18748,7520,11529,21222
B6,21,22339,9147,13454,24173
B7,21,20406,8336,15554,27785
B8,21,22912,9443,17158,30374
B9,21,23118,9693,16933,30036
B10,21,19359,7505,12043,22436
B11,21,17285,6613,10663,19943
B12,21,19984,7806,12094,21988
C1,21,19660,7810,12065,22197
C2,21,19513,7739,12146,22543
C3,21,24813,10523,18348,32144
C4,21,26611,11048,20182,34977
C5,21,21348,8847,13211,23977
C6,21,27921,11645,16730,29991
C7,21,19735,7723,12394,23030
C8,21,25175,10588,18800,32976
C9,21,23808,9980,17289,30417
C10,21,19923,7928,12482,22791
C11,21,17860,6868,11081,20651
C12,21,21765,8734,13168,23695
D1,21,20081,7979,12242,22439
D2,21,19886,7867,12297,22731
D3,21,23323,9840,17339,30596
D4,21,23419,9499,17940,31393
D5,21,20533,8408,12630,23147
D6,21,19424,7952,12697,23327
D7,21,15844,5896,9846,18758
D8,21,25212,10629,18780,32963
D9,21,25192,10383,18564,32599
D10,21,19369,7548,12079,22265
D11,21,16876,6335,10497,19851
D12,21,21943,8638,13180,23907
E1,21,19364,7638,11948,22085
E2,21,19025,7710,11711,21781
E3,21,22595,9406,16763,29799
E4,21,29611,12210,22092,38088
E5,21,22881,9402,14270,26143
E6,21,20869,8506,12713,22747
E7,21,13695,5239,8909,16970
E8,21,26009,10992,19115,33168
E9,21,23425,9551,17406,30803
E10,21,18673,7283,11667,21582
E11,21,18290,6976,11273,21206
E12,21,21810,8626,13070,23771
F1,21,20385,8066,12439,22812
F2,21,18706,7592,11711,21765
F3,21,23261,9798,17184,30309
F4,21,19557,7971,15441,26887
F5,21,20399,8440,13000,23682
F6,21,22177,9049,13506,24265
F7,21,19100,7914,12101,22605
F8,21,28661,11984,20774,36166
F9,21,25135,10332,19276,33571
F10,21,20634,8095,12806,23686
F11,21,19323,7506,12020,22403
F12,21,18235,7032,11097,20515
G1,21,16041,6237,10340,19470
G2,21,18656,7563,11608,21650
G3,21,23240,9436,14096,25319
G4,21,24738,10208,19044,32805
G5,21,25154,10663,19216,33689
G6,21,21579,8767,13028,23537
G7,21,18318,7481,11483,21480
G8,21,24332,10122,18093,31725
G9,21,24191,9873,18333,31866
G10,21,16744,6481,10565,19704
G11,21,16202,6082,10286,19725
G12,21,18895,7263,11371,21010
H1,21,12481,4781,8480,16214
H2,21,17587,6979,11070,20818
H3,21,21224,8654,13253,24144
H4,21,22162,9157,17349,30080
H5,21,24955,10634,19178,33829
H6,21,20976,8518,12923,23572
H7,21,17000,6941,10849,20439
H8,21,22446,9311,16861,29797
H9,21,22290,9238,17374,30410
H10,21,17051,6679,10706,19854
H11,21,12190,4415,7889,15338
H12,21,16684,6317,10128,19009
A1,22,17421,6948,11031,20760
A2,22,35268,14394,20785,37228
A3,22,21453,9068,15916,27927
A4,22,23227,9822,17525,30671
A5,22,18533,7568,11742,21575
A6,22,20437,8438,12500,22507
A7,22,18944,7753,14570,26085
A8,22,23965,10071,17914,31291
A9,22,20674,8408,15494,27700
A10,22,17494,6882,11053,20500
A11,22,17269,6686,10299,19252
A12,22,16684,6485,10318,19105
B1,22,17511,6881,11092,20792
B2,22,20085,7885,12509,23398
B3,22,24273,10234,17763,31258
B4,22,23402,9814,17672,30937
B5,22,18742,7499,11479,21172
B6,22,22281,9123,13410,24082
B7,22,20470,8348,15511,27742
B8,22,22937,9456,17115,30337
B9,22,23255,9741,16963,30109
B10,22,19335,7497,12027,22373
B11,22,17252,6596,10632,19865
B12,22,19933,7780,12064,21941
C1,22,19778,7864,12093,22285
C2,22,19589,7752,12180,22582
C3,22,24901,10563,18341,32145
C4,22,26600,11046,20104,34873
C5,22,21351,8829,13183,23932
C6,22,28032,11697,16772,30052
C7,22,19911,7807,12490,23217
C8,22,25174,10591,18730,32893
C9,22,23891,10041,17312,30497
C10,22,19899,7904,12450,22747
C11,22,17905,6891,11103,20671
C12,22,21806,8752,13155,23689
D1,22,20132,7980,12239,22444
D2,22,19945,7883,12308,22766
D3,22,23332,9849,17287,30528
D4,22,23444,9486,17868,31341
D5,22,20802,8540,12794,23384
D6,22,19435,7970,12712,23404
D7,22,15875,5928,9869,18816
D8,22,25249,10649,18728,32927
D9,22,25121,10341,18455,32482
D10,22,19363,7559,12054,22234
D11,22,16932,6354,10516,19895
D12,22,21935,8629,13149,23901
E1,22,19384,7636,11950,22074
E2,22,19094,7723,11709,21798
E3,22,22634,9426,16730,29773
E4,22,29713,12290,22125,38192
E5,22,23085,9518,14368,26320
E6,22,20945,8545,12736,22789
E7,22,13638,5210,8855,16902
E8,22,26046,10993,19075,33111
E9,22,23400,9536,17322,30701
E10,22,18717,7310,11669,21599
E11,22,18309,6995,11289,21200
E12,22,21726,8574,12997,23651
F1,22,20413,8069,12441,22803
F2,22,18734,7619,11696,21738
F3,22,23311,9835,17176,30292
F4,22,19659,8017,15493,26980
F5,22,20371,8453,12965,23638
F6,22,22109,9023,13447,24182
F7,22,19100,7923,12086,22566
F8,22,28671,11990,20720,36096
F9,22,25086,10322,19176,33422
F10,22,20717,8140,12816,23740
F11,22,19349,7524,12010,22411
F12,22,18153,7001,11045,20390
G1,22,16058,6229,10338,19443
G2,22,18618,7535,11570,21567
G3,22,23247,9448,14093,25297
G4,22,24725,10193,18986,32711
G5,22,25149,10664,19134,33612
G6,22,21596,8779,13024,23504
G7,22,18385,7526,11499,21542
G8,22,24321,10127,18013,31646
G9,22,24145,9830,18232,31717
G10,22,16800,6525,10577,19735
G11,22,16186,6068,10234,19664
G12,22,18862,7259,11312,20915
H1,22,12482,4799,8470,16173
H2,22,17604,6982,11050,20805
H3,22,21221,8655,13238,24088
H4,22,22202,9165,17333,30069
H5,22,24961,10629,19110,33754
H6,22,20969,8537,12909,23546
H7,22,17046,6968,10867,20457
H8,22,22442,9317,16801,29726
H9,22,22293,9245,17302,30328
H10,22,17014,6677,10682,19788
H11,22,12171,4419,7848,15298
H12,22,16712,6329,10131,18989
A1,23,17413,6928,10995,20699
A2,23,35235,14379,20745,37157
A3,23,21440,9075,15847,27856
A4,23,23220,9828,17464,30601
A5,23,18538,7555,11740,21570
A6,23,20480,8477,12524,22563
A7,23,18893,7738,14500,26005
A8,23,23985,10075,17858,31233
A9,23,20656,8389,15423,27628
A10,23,17489,6883,11042,20445
A11,23,17296,6701,10300,19256
A12,23,16639,6463,10287,19052
B1,23,17562,6906,11107,20814
B2,23,20101,7876,12506,23395
B3,23,24231,10208,17686,31121
B4,23,23403,9829,17610,30855
B5,23,18870,7561,11541,21273
B6,23,22387,9181,13448,24143
B7,23,20487,8362,15514,27744
B8,23,22911,9440,17049,30259
B9,23,23303,9771,16941,30078
B10,23,19320,7491,11995,22358
B11,23,17274,6596,10621,19867
B12,23,19945,7770,12042,21933
C1,23,19862,7893,12109,22316
C2,23,19587,7756,12150,22565
C3,23,24958,10581,18330,32152
C4,23,26643,11069,20069,34850
C5,23,21411,8879,13214,23979
C6,23,28000,11698,16734,30031
C7,23,19790,7743,12383,23040
C8,23,25187,10604,18683,32811
C9,23,23838,9993,17202,30341
C10,23,19890,7915,12415,22698
C11,23,17948,6887,11105,20669
C12,23,21787,8743,13131,23679
D1,23,20205,8010,12255,22469
D2,23,19970,7887,12306,22765
D3,23,23390,9889,17278,30541
D4,23,23461,9514,17822,31285
D5,23,20594,8427,12620,23121
D6,23,19320,7920,12676,23337
D7,23,15883,5909,9822,18727
D8,23,25167,10604,18612,32769
D9,23,25098,10322,18376,32350
D10,23,19348,7537,12031,22187
D11,23,16951,6366,10519,19878
D12,23,21903,8605,13130,23847
E1,23,19374,7630,11933,22018
E2,23,19132,7732,11727,21817
E3,23,22620,9403,16651,29663
E4,23,29725,12279,22040,38081
E5,23,23009,9478,14315,26215
E6,23,20903,8524,12687,22698
E7,23,13731,5246,8881,16938
E8,23,25979,10972,18961,32975
E9,23,23313,9521,17185,30534
E10,23,18742,7309,11678,21603
E11,23,18362,7005,11295,21213
E12,23,21811,8628,13043,23724
F1,23,20333,8021,12389,22701
F2,23,18773,7646,11715,21791
F3,23,23287,9820,17105,30190
F4,23,19680,8037,15454,26925
F5,23,20498,8496,13016,23739
F6,23,22292,9110,13528,24329
F7,23,19189,7959,12137,22678
F8,23,28555,11940,20555,35857
F9,23,25139,10336,19138,33386
F10,23,20627,8096,12746,23617
F11,23,19438,7565,12056,22485
F12,23,18258,7044,11094,20466
G1,23,16073,6260,10345,19468
G2,23,18659,7566,11576,21578
G3,23,23293,9465,14101,25333
G4,23,24752,10220,18941,32667
G5,23,25198,10676,19128,33607
G6,23,21653,8826,13077,23567
G7,23,18336,7502,11457,21443
G8,23,24438,10166,18044,31725
G9,23,24265,9908,18250,31795
G10,23,16797,6522,10547,19684
G11,23,16117,6046,10194,19608
G12,23,18970,7307,11348,20969
H1,23,12461,4776,8455,16155
H2,23,17602,6988,11053,20792
H3,23,21252,8673,13240,24102
H4,23,22197,9166,17289,30000
H5,23,25009,10655,19088,33722
H6,23,21001,8554,12906,23586
H7,23,17025,6952,10848,20424
H8,23,22461,9328,16756,29693
H9,23,22316,9250,17276,30297
H10,23,17008,6661,10639,19762
H11,23,12192,4429,7862,15287
H12,23,16751,6345,10114,18935
A1,24,17400,6927,10971,20658
A2,24,35245,14385,20715,37127
A3,24,21484,9096,15822,27860
A4,24,23247,9806,17406,30527
A5,24,18515,7550,11678,21494
A6,24,20472,8469,12503,22504
A7,24,18930,7737,14469,25958
A8,24,23940,10052,17787,31104
A9,24,20636,8393,15367,27535
A10,24,17485,6878,11028,20432
A11,24,17295,6705,10298,19246
A12,24,16644,6480,10274,19035
B1,24,17638,6954,11131,20847
B2,24,20087,7882,12476,23339
B3,24,24263,10240,17670,31143
B4,24,23400,9816,17550,30769
B5,24,18671,7481,11398,21039
B6,24,22338,9156,13405,24074
B7,24,20502,8369,15467,27707
B8,24,22945,9452,17003,30189
B9,24,23365,9787,16925,30035
B10,24,19354,7524,11988,22357
B11,24,17241,6583,10590,19797
B12,24,19959,7779,12049,21950
C1,24,19749,7842,12038,22185
C2,24,19619,7763,12150,22561
C3,24,25000,10603,18300,32139
C4,24,26745,11114,20082,34891
C5,24,21483,8914,13250,24023
C6,24,28045,11715,16754,30017
C7,24,19883,7800,12427,23092
C8,24,25210,10600,18619,32739
C9,24,23856,10007,17146,30255
C10,24,19885,7928,12403,22691
C11,24,18031,6954,11153,20757
C12,24,21807,8744,13140,23663
D1,24,20139,7987,12212,22401
D2,24,20101,7966,12392,22893
D3,24,23356,9882,17214,30424
D4,24,23603,9583,17864,31366
D5,24,20706,8480,12669,23210
D6,24,19299,7912,12663,23384
D7,24,15959,5951,9853,18783
D8,24,25218,10624,18587,32711
D9,24,25172,10357,18347,32313
D10,24,19402,7579,12055,22229
D11,24,17056,6413,10569,19970
D12,24,21941,8644,13129,23860
E1,24,19388,7651,11924,22020
E2,24,19257,7808,11779,21901
E3,24,22682,9440,16652,29696
E4,24,29742,12288,21981,37999
E5,24,23029,9485,14275,26156
E6,24,20926,8540,12703,22721
E7,24,13769,5266,8891,16963
E8,24,25982,10982,18914,32921
E9,24,23365,9544,17173,30496
E10,24,18838,7380,11718,21666
E11,24,18473,7063,11338,21321
E12,24,21935,8679,13107,23788
F1,24,20484,8117,12465,22839
F2,24,18739,7603,11633,21657
F3,24,23266,9807,17051,30114
F4,24,19627,8014,15358,26792
F5,24,20406,8468,12930,23590
F6,24,22286,9098,13520,24315
F7,24,19191,7980,12129,22635
F8,24,28660,11990,20573,35934
F9,24,25166,10339,19105,33343
F10,24,20761,8179,12811,23733
F11,24,19589,7641,12138,22601
F12,24,18308,7065,11091,20515
G1,24,16099,6256,10310,19424
G2,24,18584,7518,11532,21493
G3,24,23298,9463,14084,25308
G4,24,24776,10208,18919,32638
G5,24,25252,10703,19070,33578
G6,24,21645,8816,13043,23494
G7,24,18330,7501,11425,21381
G8,24,24443,10178,18007,31658
G9,24,24272,9918,18194,31734
G10,24,16765,6495,10517,19636
G11,24,16077,6039,10163,19548
G12,24,19068,7351,11328,20914
H1,24,12464,4785,8461,16168
H2,24,17588,6973,11005,20721
H3,24,21282,8683,13229,24080
H4,24,22184,9161,17214,29936
H5,24,24984,10634,19012,33616
H6,24,21029,8561,12904,23561
H7,24,17015,6961,10820,20385
H8,24,22458,9329,16690,29613
H9,24,22273,9236,17192,30174
H10,24,17007,6657,10622,19713
H11,24,12208,4435,7874,15331
H12,24,16925,6423,10149,18923
A1,25,17403,6917,10973,20620
A2,25,35287,14392,20724,37110
A3,25,21472,9103,15770,27774
A4,25,23269,9853,17372,30471
A5,25,18538,7565,11660,21471
A6,25,20505,8485,12496,22519
A7,25,18963,7757,14433,25936
A8,25,24017,10112,17789,31116
A9,25,20720,8430,15347,27544
A10,25,17517,6903,11020,20425
A11,25,17335,6714,10291,19241
A12,25,16645,6470,10273,19003
B1,25,17698,6980,11146,20866
B2,25,20117,7877,12462,23331
B3,25,24326,10266,17641,31113
B4,25,23469,9849,17543,30782
B5,25,18730,7498,11426,21062
B6,25,22447,9198,13450,24144
B7,25,20548,8378,15424,27662
B8,25,22960,9458,16958,30117
B9,25,23547,9891,16937,30078
B10,25,19385,7531,12000,22346
B11,25,17295,6594,10580,19789
B12,25,19944,7764,12025,21896
C1,25,19747,7840,12001,22123
C2,25,19595,7749,12112,22487
C3,25,24914,10581,18205,31984
C4,25,26828,11166,20049,34860
C5,25,21497,8904,13216,23990
C6,25,28058,11737,16749,29981
C7,25,19938,7826,12432,23104
C8,25,25238,10605,18573,32680
C9,25,23917,10033,17096,30192
C10,25,19925,7925,12423,22677
C11,25,18062,6980,11157,20754
C12,25,21785,8740,13094,23642
D1,25,20141,7989,12201,22356
D2,25,20153,8001,12391,22901
D3,25,23478,9917,17214,30481
D4,25,23751,9657,17928,31471
D5,25,20772,8539,12721,23293
D6,25,19207,7882,12632,23333
D7,25,16027,5977,9873,18839
D8,25,25252,10647,18547,32683
D9,25,25172,10366,18271,32230
D10,25,19360,7542,12000,22154
D11,25,17127,6435,10580,19976
D12,25,21872,8598,13069,23764
E1,25,19393,7660,11911,21995
E2,25,19381,7875,11851,22009
E3,25,22688,9454,16593,29602
E4,25,29977,12414,22065,38137
E5,25,23041,9507,14291,26197
E6,25,21013,8573,12711,22753
E7,25,13801,5277,8890,16951
E8,25,26118,11044,18934,32961
E9,25,23396,9537,17105,30435
E10,25,18834,7356,11689,21624
E11,25,18482,7067,11325,21262
E12,25,21936,8672,13074,23747
F1,25,20441,8095,12421,22748
F2,25,18949,7710,11763,21852
F3,25,23303,9837,17008,30070
F4,25,19764,8069,15399,26865
F5,25,20480,8485,12933,23589
F6,25,22252,9085,13474,24236
F7,25,19200,7986,12102,22597
F8,25,28728,12018,20528,35887
F9,25,25132,10338,18994,33193
F10,25,20750,8146,12770,23672
F11,25,19580,7641,12100,22533
F12,25,18389,7111,11122,20545
G1,25,16190,6302,10350,19477
G2,25,18621,7535,11523,21503
G3,25,23380,9525,14099,25363
G4,25,24743,10173,18802,32508
G5,25,25339,10757,19114,33645
G6,25,21717,8857,13070,23537
G7,25,18389,7530,11451,21446
G8,25,24484,10197,17935,31572
G9,25,24446,9988,18239,31779
G10,25,16862,6546,10559,19696
G11,25,16176,6065,10185,19559
G12,25,19374,7475,11384,20919
H1,25,12464,4781,8429,16116
H2,25,17643,6997,11018,20738
H3,25,21292,8688,13225,24073
H4,25,22261,9202,17214,29920
H5,25,25058,10681,18995,33628
H6,25,21075,8574,12907,23562
H7,25,17044,6970,10835,20387
H8,25,22520,9352,16655,29563
H9,25,22274,9220,17108,30067
H10,25,17010,6665,10605,19702
H11,25,12187,4430,7824,15252
H12,25,17211,6557,10176,18928
A1,26,17392,6919,10950,20596
A2,26,35328,14418,20720,37130
A3,26,21497,9102,15742,27744
A4,26,23330,9874,17324,30409
A5,26,18561,7567,11675,21495
A6,26,20513,8492,12496,22474
A7,26,19035,7803,14414,25894
A8,26,24063,10131,17734,31051
A9,26,20738,8455,15303,27461
A10,26,17566,6914,11000,20386
A11,26,17325,6733,10275,19195
A12,26,16630,6459,10237,18993
B1,26,17635,6940,11067,20736
B2,26,20146,7896,12469,23288
B3,26,24304,10243,17581,31015
