Block Type,96well,,,,
Chemistry,TAQMAN,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,,
Instrument Type,steponeplus,,,,
Passive Reference,ROX,,,,
,,,,,
Well,Cycle,BLUE,GREEN,YELLOW,RED
D4,5,22853,9199,18600,31972
D5,5,20517,8382,13010,23673
D6,5,20568,8341,13093,23581
D7,5,15437,5746,9905,18860
D8,5,24844,10466,19930,34199
D9,5,24851,10218,19694,33786
D10,5,19391,7534,12318,22603
D11,5,16415,6123,10498,19783
D12,5,22386,8838,13654,24597
E1,5,19328,7618,12296,22567
E2,5,18702,7477,11848,21973
E3,5,22209,9192,17766,30872
E4,5,29082,11976,23002,38969
E5,5,22347,9067,14218,25977
E6,5,20573,8340,12876,23043
E7,5,13356,5041,8917,16958
E8,5,25619,10815,20237,34374
E9,5,23253,9475,18537,32001
E10,5,18401,7163,11721,21653
E11,5,17995,6857,11392,21332
E12,5,22245,8822,13577,24508
F1,5,20575,8111,12841,23429
F2,5,18324,7363,11841,21956
F3,5,22827,9589,18215,31376
F4,5,19084,7767,15942,27303
F5,5,19875,8120,12984,23659
F6,5,21558,8749,13477,24165
F7,5,18917,7769,12355,22967
F8,5,28126,11729,21869,37296
F9,5,25776,10620,20834,35543
F10,5,20366,7968,12931,23829
F11,5,18733,7240,11923,22193
F12,5,18676,7254,11550,21187
G1,5,15957,6156,10509,19657
G2,5,18588,7492,11930,22118
G3,5,23045,9350,14282,25666
G4,5,24909,10281,20142,34076
G5,5,25004,10589,20551,35221
G6,5,20975,8460,13038,23470
G7,5,18261,7413,11797,22001
G8,5,24213,10051,19313,33089
G9,5,24260,9941,19548,33406
G10,5,17049,6611,10980,20309
G11,5,16552,6210,10676,20255
G12,5,19280,7454,11779,21613
H1,5,12536,4790,8644,16369
H2,5,17784,7061,11565,21590
H3,5,21105,8576,13436,24434
H4,5,22351,9243,18461,31466
H5,5,24971,10637,20608,35539
H6,5,20837,8444,13187,23963
H7,5,17211,6995,11314,21179
H8,5,22564,9334,18164,31354
H9,5,22845,9509,18874,32444
H10,5,17321,6802,11150,20536
H11,5,12245,4443,8081,15579
H12,5,16951,6481,10560,19654
A1,6,17314,6865,11296,21112
A2,6,35095,14300,21023,37572
A3,6,21612,9106,17169,29522
A4,6,23337,9872,18869,32256
A5,6,18671,7606,12098,22093
A6,6,20435,8412,12839,23033
A7,6,19194,7876,15845,27676
A8,6,24117,10139,19327,32987
A9,6,20781,8449,16713,29118
A10,6,17755,7026,11477,21029
A11,6,17311,6706,10600,19624
A12,6,16889,6585,10632,19554
B1,6,17757,7007,11570,21500
B2,6,20126,7891,12820,23868
B3,6,24016,10091,18871,32474
B4,6,23360,9808,18879,32310
B5,6,18731,7490,11807,21598
B6,6,21855,8858,13478,24175
B7,6,20523,8374,16718,29161
B8,6,23041,9500,18484,31942
B9,6,22839,9564,17994,31202
B10,6,19337,7525,12304,22740
B11,6,17843,6894,11274,20869
B12,6,20496,8041,12570,22685
C1,6,19714,7836,12400,22711
C2,6,19205,7581,12232,22659
C3,6,24706,10419,19498,33481
C4,6,26395,10965,21179,36043
C5,6,21007,8671,13376,24159
C6,6,27590,11414,16893,30249
C7,6,19842,7782,12767,23632
C8,6,25120,10566,20088,34475
C9,6,23436,9760,18199,31357
C10,6,19897,7911,12655,23013
C11,6,17706,6836,11327,20966
C12,6,21999,8830,13506,24211
D1,6,20031,7936,12549,22864
D2,6,19487,7658,12366,22843
D3,6,22965,9657,18267,31616
D4,6,22658,9128,18367,31626
D5,6,20497,8381,12967,23627
D6,6,20559,8335,13096,23645
D7,6,15589,5820,10004,19015
D8,6,24879,10482,19846,34097
D9,6,24898,10240,19615,33673
D10,6,19363,7541,12296,22566
D11,6,16393,6090,10466,19748
D12,6,22381,8846,13639,24614
E1,6,19271,7600,12271,22512
E2,6,18664,7486,11826,21945
E3,6,22381,9273,17776,30940
E4,6,29078,11992,22920,38897
E5,6,22233,9011,14150,25932
E6,6,20628,8367,12890,23068
E7,6,13433,5095,8950,17008
E8,6,25643,10840,20147,34294
E9,6,23290,9493,18469,31940
E10,6,18460,7181,11737,21658
E11,6,17981,6844,11392,21316
E12,6,22257,8833,13569,24492
F1,6,20583,8131,12834,23385
F2,6,18621,7513,12017,22257
F3,6,22877,9603,18126,31292
F4,6,19116,7792,15926,27303
F5,6,19932,8149,12998,23675
F6,6,21601,8757,13469,24168
F7,6,18912,7783,12313,22893
F8,6,28186,11759,21817,37240
F9,6,25718,10609,20721,35395
F10,6,20373,7960,12920,23815
F11,6,18728,7215,11904,22155
F12,6,18645,7238,11516,21127
G1,6,15939,6171,10499,19636
G2,6,18470,7419,11789,21885
G3,6,23020,9333,14237,25590
G4,6,24904,10284,20064,33995
G5,6,25022,10585,20427,35099
G6,6,21028,8468,13035,23465
G7,6,18237,7408,11760,21952
G8,6,24186,10034,19210,32947
G9,6,24120,9895,19355,33134
G10,6,17044,6621,10976,20287
G11,6,16518,6203,10662,20237
G12,6,19255,7430,11753,21578
H1,6,12668,4859,8710,16510
H2,6,17797,7060,11529,21540
H3,6,21085,8568,13393,24385
H4,6,22361,9267,18398,31375
H5,6,24918,10610,20464,35374
H6,6,20860,8447,13169,23953
H7,6,17122,6938,11240,21067
H8,6,22508,9311,18039,31177
H9,6,22855,9509,18803,32390
H10,6,17318,6803,11137,20500
H11,6,12342,4476,8110,15639
H12,6,16968,6479,10525,19593
A1,7,17486,6955,11403,21325
A2,7,34989,14252,20938,37456
A3,7,21571,9097,17028,29340
A4,7,23359,9872,18791,32175
A5,7,18695,7618,12073,22084
A6,7,20429,8381,12780,22967
A7,7,19140,7859,15746,27520
A8,7,24016,10103,19155,32753
A9,7,20738,8417,16587,28996
A10,7,17712,7002,11447,21001
A11,7,17301,6691,10558,19567
A12,7,16831,6581,10599,19475
B1,7,17486,6878,11379,21206
B2,7,20055,7848,12746,23758
B3,7,24076,10121,18829,32442
B4,7,23351,9805,18786,32189
B5,7,18667,7457,11725,21509
B6,7,21911,8900,13479,24185
B7,7,20527,8373,16658,29097
B8,7,23053,9515,18381,31839
B9,7,22909,9591,17950,31150
B10,7,19372,7524,12317,22743
B11,7,17808,6877,11239,20805
B12,7,20399,7995,12510,22571
C1,7,19951,7930,12540,22934
C2,7,19216,7566,12224,22648
C3,7,24744,10439,19415,33405
C4,7,26394,10965,21087,35946
C5,7,21027,8674,13345,24138
C6,7,27609,11432,16876,30209
C7,7,19775,7756,12706,23508
C8,7,25109,10559,19973,34338
C9,7,23378,9743,18070,31186
C10,7,19861,7901,12640,22996
C11,7,17604,6766,11231,20814
C12,7,22031,8857,13500,24194
D1,7,20237,8013,12617,23009
D2,7,19577,7695,12402,22891
D3,7,23027,9662,18205,31529
D4,7,22719,9140,18357,31606
D5,7,20708,8485,13096,23835
D6,7,20492,8313,13076,23611
D7,7,15515,5793,9926,18889
D8,7,24950,10517,19793,34071
D9,7,24911,10227,19481,33534
D10,7,19321,7510,12244,22493
D11,7,16264,6038,10351,19553
D12,7,22401,8860,13619,24581
E1,7,19472,7665,12342,22617
E2,7,18625,7458,11748,21824
E3,7,22332,9247,17608,30724
E4,7,29125,11992,22859,38839
E5,7,22326,9096,14265,26133
E6,7,20609,8349,12847,23011
E7,7,13363,5067,8892,16943
E8,7,25621,10825,20024,34122
E9,7,23345,9519,18381,31857
E10,7,18542,7216,11809,21747
E11,7,17902,6815,11307,21183
E12,7,22183,8801,13504,24408
F1,7,20507,8086,12759,23271
F2,7,18371,7408,11815,21933
F3,7,22842,9576,17972,31108
F4,7,19130,7779,15873,27245
F5,7,19968,8178,12978,23667
F6,7,21739,8842,13511,24268
F7,7,18899,7774,12265,22838
F8,7,28219,11777,21739,37132
F9,7,25782,10644,20698,35392
F10,7,20361,7972,12892,23782
F11,7,18717,7208,11863,22094
F12,7,18625,7232,11492,21076
G1,7,15955,6170,10479,19639
G2,7,18493,7443,11809,21911
G3,7,23125,9365,14266,25652
G4,7,24895,10269,19996,33904
G5,7,25043,10613,20372,35052
G6,7,21055,8489,13022,23465
G7,7,18301,7449,11769,21970
G8,7,24198,10059,19110,32873
G9,7,24058,9853,19238,32953
G10,7,16995,6598,10914,20196
G11,7,16555,6221,10653,20272
G12,7,19265,7429,11756,21582
H1,7,12570,4814,8641,16403
H2,7,17738,7029,11468,21432
H3,7,21077,8561,13391,24341
H4,7,22338,9255,18293,31243
H5,7,24953,10640,20388,35263
H6,7,20878,8455,13145,23919
H7,7,17102,6941,11201,20979
H8,7,22456,9320,17921,31018
H9,7,22790,9473,18684,32224
H10,7,17248,6756,11059,20394
H11,7,12338,4466,8093,15590
H12,7,16934,6434,10484,19529
A1,8,17354,6894,11278,21140
A2,8,34909,14221,20859,37339
A3,8,21601,9117,16946,29239
A4,8,23363,9891,18693,32074
A5,8,18601,7573,11995,21928
A6,8,20406,8392,12756,22915
A7,8,19124,7858,15632,27383
A8,8,24077,10125,19094,32693
A9,8,20714,8409,16472,28834
A10,8,17691,6990,11399,20959
A11,8,17262,6677,10508,19514
A12,8,16860,6575,10586,19480
B1,8,17587,6911,11391,21261
B2,8,20046,7839,12735,23728
B3,8,24117,10150,18755,32351
B4,8,23357,9798,18681,32077
B5,8,18565,7411,11644,21373
B6,8,21924,8922,13479,24163
B7,8,20427,8320,16466,28829
B8,8,23014,9500,18251,31676
B9,8,22903,9604,17825,31028
B10,8,19326,7514,12272,22687
B11,8,17855,6900,11252,20850
B12,8,20268,7942,12410,22422
C1,8,19931,7928,12483,22874
C2,8,19218,7557,12199,22608
C3,8,24724,10448,19305,33248
C4,8,26360,10956,20971,35793
C5,8,21001,8665,13293,24079
C6,8,27640,11444,16871,30205
C7,8,19815,7769,12690,23504
C8,8,25089,10539,19842,34169
C9,8,23445,9773,17995,31139
C10,8,19839,7874,12596,22949
C11,8,17579,6761,11190,20762
C12,8,22020,8858,13463,24173
D1,8,20297,8054,12633,23018
D2,8,19601,7720,12384,22883
D3,8,23014,9670,18085,31412
D4,8,22714,9154,18245,31539
D5,8,20411,8355,12851,23446
D6,8,20338,8271,13018,23536
D7,8,15516,5785,9905,18884
D8,8,24943,10512,19678,33937
D9,8,24956,10250,19434,33489
D10,8,19367,7534,12248,22498
D11,8,16334,6064,10384,19607
D12,8,22303,8814,13546,24498
E1,8,19493,7703,12319,22611
E2,8,18731,7515,11809,21890
E3,8,22387,9269,17558,30666
E4,8,28893,11869,22587,38424
E5,8,22248,9047,14198,26033
E6,8,20675,8402,12870,23029
E7,8,13369,5066,8871,16936
E8,8,25663,10843,19950,34031
E9,8,23392,9543,18340,31817
E10,8,18539,7206,11756,21712
E11,8,17899,6791,11295,21150
E12,8,22120,8754,13436,24315
F1,8,20459,8075,12700,23188
F2,8,18350,7401,11779,21867
F3,8,22854,9605,17898,31008
F4,8,19159,7804,15856,27234
F5,8,20032,8221,12990,23715
F6,8,21749,8829,13512,24244
F7,8,18847,7749,12214,22737
F8,8,28210,11787,21625,37006
F9,8,25708,10617,20573,35258
F10,8,20417,8000,12899,23800
F11,8,18739,7214,11860,22065
F12,8,18620,7211,11465,21060
G1,8,15925,6165,10459,19621
G2,8,18550,7473,11845,21964
G3,8,23153,9392,14271,25644
G4,8,24976,10313,20000,33961
G5,8,25018,10606,20224,34861
G6,8,21078,8507,13011,23445
G7,8,18289,7440,11733,21920
G8,8,24157,10007,18976,32657
G9,8,23988,9803,19088,32718
G10,8,17044,6619,10939,20248
G11,8,16521,6206,10646,20251
G12,8,19259,7435,11759,21582
H1,8,12570,4829,8636,16407
H2,8,17681,7021,11414,21347
H3,8,21097,8575,13384,24359
H4,8,22313,9245,18246,31198
H5,8,24879,10606,20232,35034
H6,8,20849,8469,13114,23877
H7,8,17068,6935,11152,20914
H8,8,22427,9290,17789,30867
H9,8,22649,9410,18514,31935
H10,8,17263,6764,11038,20355
H11,8,12416,4497,8123,15668
H12,8,16953,6440,10460,19501
A1,9,17448,6959,11313,21249
A2,9,34908,14221,20849,37305
A3,9,21586,9132,16838,29123
A4,9,23341,9878,18579,31931
A5,9,18582,7563,11963,21916
A6,9,20451,8410,12769,22950
A7,9,19089,7818,15523,27255
A8,9,23995,10092,18953,32530
A9,9,20698,8399,16392,28743
A10,9,17683,6960,11350,20877
A11,9,17285,6688,10502,19495
A12,9,16819,6543,10542,19420
B1,9,17468,6847,11315,21106
B2,9,20008,7837,12688,23663
B3,9,24212,10201,18718,32354
B4,9,23386,9825,18631,32023
B5,9,18582,7413,11642,21348
B6,9,21996,8940,13484,24178
B7,9,20434,8326,16382,28746
B8,9,23024,9501,18158,31576
B9,9,22977,9626,17773,30991
B10,9,19222,7472,12180,22573
B11,9,17584,6777,11080,20568
