"STATION","NAME","DATE","PRCP"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-07","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-08","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-09","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-10","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-11","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-12","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-13","0.30"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-14","0.14"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-15","0.19"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-16","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-17","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-18","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-19","0.60"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-20","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-21","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-22","0.22"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-23","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-24","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-25","0.01"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-26","0.59"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-27","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-28","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-29","0.36"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-30","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-31","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-01","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-02","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-03","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-04","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-05","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-06","0.06"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-07","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-08","0.46"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-09","0.14"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-10","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-11","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-12","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-13","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-14","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-15","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-16","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-17","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-18","0.25"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-19","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-20","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-21","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-22","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-23","0.94"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-24","0.06"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-08-25","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-03",
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-04","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-05","0.60"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-06","1.75"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-07","0.18"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-08","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-09","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-10","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-11","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-12","0.01"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-13","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-14","0.29"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-15","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-17","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-18","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-19","0.05"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-20","0.89"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-21","0.07"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-22","1.82"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-23","0.69"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-24","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-25","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-26","0.04"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-27","0.15"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-28","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-09-30","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-01","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-02","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-03","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-04","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-05","0.08"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-06","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-07","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-08","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-09","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-10","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-11","0.00"
