Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
D3,1,BRK2,UNKNOWN,FAM,NFQ-MGB,34.11963272,34.41670609,0.261419415,0.002936953,0.003617367,0.000601876,TRUE,0.137240904,TRUE,3,30,,N,N,N,N,N
D4,13,BRK2,UNKNOWN,FAM,NFQ-MGB,32.16330719,32.46500015,0.265559584,0.000794582,0.000981994,0.000165858,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
D5,25,BRK2,UNKNOWN,FAM,NFQ-MGB,34.51253128,34.6873436,0.598832786,0.003818764,0.004536545,0.001909999,TRUE,0.137240904,TRUE,3,30,,N,Y,N,N,N
D6,19,BRK2,UNKNOWN,FAM,NFQ-MGB,33.77072906,34.17403793,0.354702026,0.002326159,0.003100731,0.000686087,TRUE,0.137240904,TRUE,3,30,,N,N,N,N,N
D7,28,BRK2,UNKNOWN,FAM,NFQ-MGB,33.54713821,34.33969116,1.497479439,0.002003316,0.004871725,0.005126187,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
D8,6,BRK2,UNKNOWN,FAM,NFQ-MGB,33.55539322,33.11741638,0.603521943,0.002014398,0.001623087,0.000738243,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
D9,16,BRK2,UNKNOWN,FAM,NFQ-MGB,32.20471954,32.05369568,0.213581353,0.000816878,0.000742224,0.000105576,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
D10,10,BRK2,UNKNOWN,FAM,NFQ-MGB,33.0091362,32.93832016,0.492885977,0.001398338,0.001381245,0.000433548,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
D11,14,BRK2,UNKNOWN,FAM,NFQ-MGB,32.38740158,32.44619751,0.114203937,0.000922942,0.000961818,7.49179E-05,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
D12,,BRK2,STANDARD,FAM,NFQ-MGB,36.05578232,35.41940308,0.899976134,0.007,,,TRUE,0.137240904,TRUE,3,32,,N,Y,N,N,N
E1,8,BRK2,UNKNOWN,FAM,NFQ-MGB,32.50860214,32.61721802,0.109837182,0.001000804,0.001078081,7.91713E-05,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
E2,27,BRK2,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.97409821,,,,,TRUE,0.137240904,TRUE,3,35,,N,N,N,N,N
E3,1,BRK2,UNKNOWN,FAM,NFQ-MGB,34.61161804,34.41670609,0.261419415,0.004080181,0.003617367,0.000601876,TRUE,0.137240904,TRUE,3,30,,N,N,N,N,N
E4,13,BRK2,UNKNOWN,FAM,NFQ-MGB,32.56832123,32.46500015,0.265559584,0.001041551,0.000981994,0.000165858,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
E5,3,BRK2,UNKNOWN,FAM,NFQ-MGB,33.26931763,32.94847488,0.336675555,0.001663877,0.001365318,0.000300779,TRUE,0.137240904,TRUE,3,29,,N,N,N,N,N
E6,19,BRK2,UNKNOWN,FAM,NFQ-MGB,34.31386185,34.17403793,0.354702026,0.003343994,0.003100731,0.000686087,TRUE,0.137240904,TRUE,3,30,,N,N,N,N,N
E7,28,BRK2,UNKNOWN,FAM,NFQ-MGB,33.40504837,34.33969116,1.497479439,0.00182185,0.004871725,0.005126187,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
E8,6,BRK2,UNKNOWN,FAM,NFQ-MGB,33.4836998,33.11741638,0.603521943,0.001920165,0.001623087,0.000738243,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
E9,16,BRK2,UNKNOWN,FAM,NFQ-MGB,31.90266991,32.05369568,0.213581353,0.000667571,0.000742224,0.000105576,TRUE,0.137240904,TRUE,3,27,,N,N,N,N,N
E10,10,BRK2,UNKNOWN,FAM,NFQ-MGB,32.41385651,32.93832016,0.492885977,0.000939403,0.001381245,0.000433548,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
E11,26,BRK2,UNKNOWN,FAM,NFQ-MGB,31.70296478,31.58182335,0.392818153,0.00058417,0.000550733,0.00013541,TRUE,0.137240904,TRUE,3,27,,N,N,N,N,N
E12,,BRK2,STANDARD,FAM,NFQ-MGB,32.10477829,31.97369385,0.185382739,0.0007,,,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
F1,8,BRK2,UNKNOWN,FAM,NFQ-MGB,32.72823715,32.61721802,0.109837182,0.001159019,0.001078081,7.91713E-05,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
F2,27,BRK2,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.97409821,,,,,TRUE,0.137240904,TRUE,3,39,,N,N,Y,N,Y
F3,2,BRK2,UNKNOWN,FAM,NFQ-MGB,34.79753494,33.8039093,0.927442312,0.004619932,0.002708126,0.001702841,TRUE,0.137240904,TRUE,3,30,,N,Y,N,N,N
F4,13,BRK2,UNKNOWN,FAM,NFQ-MGB,32.66336823,32.46500015,0.265559584,0.001109851,0.000981994,0.000165858,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
F5,3,BRK2,UNKNOWN,FAM,NFQ-MGB,32.59793472,32.94847488,0.336675555,0.001062367,0.001365318,0.000300779,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
F6,20,BRK2,UNKNOWN,FAM,NFQ-MGB,34.69971466,33.74304581,0.828528225,0.004327594,0.002548386,0.001540859,TRUE,0.137240904,TRUE,3,30,,N,Y,N,Y,N
F7,28,BRK2,UNKNOWN,FAM,NFQ-MGB,36.06688309,34.33969116,1.497479439,0.010790008,0.004871725,0.005126187,TRUE,0.137240904,TRUE,3,31,,N,Y,N,N,N
F8,6,BRK2,UNKNOWN,FAM,NFQ-MGB,33.05400848,33.11741638,0.603521943,0.001440904,0.001623087,0.000738243,TRUE,0.137240904,TRUE,3,28,,N,Y,N,N,N
F9,17,BRK2,UNKNOWN,FAM,NFQ-MGB,31.99386215,31.99682999,0.0041985,0.000709517,0.000710927,1.99461E-06,TRUE,0.137240904,TRUE,3,27,,N,N,N,N,N
F10,10,BRK2,UNKNOWN,FAM,NFQ-MGB,33.39196777,32.93832016,0.492885977,0.001805995,0.001381245,0.000433548,TRUE,0.137240904,TRUE,3,29,,N,N,N,N,N
F11,26,BRK2,UNKNOWN,FAM,NFQ-MGB,31.89980316,31.58182335,0.392818153,0.000666293,0.000550733,0.00013541,TRUE,0.137240904,TRUE,3,27,,N,N,N,N,N
F12,,BRK2,STANDARD,FAM,NFQ-MGB,31.8426075,31.97369385,0.185382739,0.0007,,,TRUE,0.137240904,TRUE,3,27,,N,N,N,N,N
G1,21,BRK2,UNKNOWN,FAM,NFQ-MGB,33.052948,34.69616318,1.939407945,0.001439883,0.007523972,0.009138633,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
G2,27,BRK2,UNKNOWN,FAM,NFQ-MGB,36.97409821,36.97409821,,0.019783851,0.019783851,,TRUE,0.137240904,TRUE,3,32,,N,N,N,N,N
G3,2,BRK2,UNKNOWN,FAM,NFQ-MGB,32.96114731,33.8039093,0.927442312,0.001354207,0.002708126,0.001702841,TRUE,0.137240904,TRUE,3,28,,N,Y,N,N,N
G4,23,BRK2,UNKNOWN,FAM,NFQ-MGB,32.99225616,33.5791626,1.010578156,0.001382654,0.002411817,0.001777029,TRUE,0.137240904,TRUE,3,28,,N,Y,N,N,N
G5,3,BRK2,UNKNOWN,FAM,NFQ-MGB,32.97817993,32.94847488,0.336675555,0.001369709,0.001365318,0.000300779,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
G6,20,BRK2,UNKNOWN,FAM,NFQ-MGB,33.25781631,33.74304581,0.828528225,0.001651138,0.002548386,0.001540859,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
