Block Type,96well,,,
Chemistry,TAQMAN,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,
Instrument Type,steponeplus,,,
Passive Reference,ROX,,,
,,,,
Well,Cycle,Target Name,Rn,?Rn
A7,31,BRK2,0.385385543,0.03295828
A7,32,BRK2,0.420706719,0.06701766
A7,33,BRK2,0.485666156,0.130715296
A7,34,BRK2,0.599696159,0.243483514
A7,35,BRK2,0.782332659,0.424858212
A7,36,BRK2,1.037396073,0.678659856
A7,37,BRK2,1.349523067,0.98952502
A7,38,BRK2,1.680559158,1.31929934
A7,39,BRK2,1.998299122,1.635777473
A7,40,BRK2,2.27452755,1.910744071
A8,1,BRK2,0.32933715,-0.006487972
A8,2,BRK2,0.334376484,-0.002807975
A8,3,BRK2,0.336826026,-0.00171777
A8,4,BRK2,0.339655578,-0.000247556
A8,5,BRK2,0.341215879,-4.65929E-05
A8,6,BRK2,0.342999727,0.000377917
A8,7,BRK2,0.34430933,0.000328183
A8,8,BRK2,0.346132249,0.000791765
A8,9,BRK2,0.346900105,0.000200284
A8,10,BRK2,0.348452479,0.00039332
A8,11,BRK2,0.350117803,0.000699306
A8,12,BRK2,0.351444989,0.000667155
A8,13,BRK2,0.352727085,0.000589914
A8,14,BRK2,0.353996307,0.000499798
A8,15,BRK2,0.354932457,7.66107E-05
A8,16,BRK2,0.356329232,0.000114048
A8,17,BRK2,0.357604057,2.95351E-05
A8,18,BRK2,0.358707994,-0.000225865
A8,19,BRK2,0.360146284,-0.000146912
A8,20,BRK2,0.361262679,-0.000389855
A8,21,BRK2,0.362441093,-0.000570779
A8,22,BRK2,0.363464236,-0.000906973
A8,23,BRK2,0.36465618,-0.001074366
A8,24,BRK2,0.36560002,-0.001489864
A8,25,BRK2,0.367027432,-0.00142179
A8,26,BRK2,0.368820697,-0.000987862
A8,27,BRK2,0.371810049,0.000642153
A8,28,BRK2,0.376343429,0.003816195
A8,29,BRK2,0.38408947,0.010202899
A8,30,BRK2,0.398955554,0.023709645
A8,31,BRK2,0.427201033,0.050595786
A8,32,BRK2,0.478689015,0.100724429
A8,33,BRK2,0.571724355,0.192400441
A8,34,BRK2,0.72670579,0.346022516
A8,35,BRK2,0.960039377,0.57799679
A8,36,BRK2,1.25797689,0.874574959
A8,37,BRK2,1.589293599,1.204532385
A8,38,BRK2,1.90556848,1.519447923
A8,39,BRK2,2.183828115,1.796348214
A8,40,BRK2,2.404801369,2.015962124
A9,1,BRK2,0.318509936,-0.007670655
A9,2,BRK2,0.323928058,-0.00352347
A9,3,BRK2,0.326915681,-0.001806784
A9,4,BRK2,0.329346985,-0.000646418
A9,5,BRK2,0.330991149,-0.000273191
A9,6,BRK2,0.332893163,0.000357886
A9,7,BRK2,0.333765715,-4.04989E-05
A9,8,BRK2,0.335593939,0.000516787
A9,9,BRK2,0.33658886,0.000240771
A9,10,BRK2,0.338335037,0.000716011
A9,11,BRK2,0.339615047,0.000725084
A9,12,BRK2,0.340984583,0.000823683
A9,13,BRK2,0.342219859,0.000788022
